#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
140,Kabuto,6,11,355,30,80,90,55,45,55,1,False
141,Kabutops,6,11,495,60,115,105,65,70,80,1,False
142,Aerodactyl,6,3,515,80,105,65,60,75,130,1,False
142,AerodactylMega Aerodactyl,6,3,615,80,135,85,70,95,150,1,False
143,Snorlax,1,0,540,160,110,65,65,110,30,1,False
144,Articuno,15,3,580,90,85,100,95,125,85,1,True
145,Zapdos,13,3,580,90,90,85,125,90,100,1,True
146,Moltres,10,3,580,90,100,90,125,85,90,1,True
147,Dratini,16,0,300,41,64,45,50,50,50,1,False
148,Dragonair,16,0,420,61,84,65,70,70,70,1,False
149,Dragonite,16,3,600,91,134,95,100,100,80,1,False
150,Mewtwo,14,0,680,106,110,90,154,90,130,1,True
150,MewtwoMega Mewtwo X,14,2,780,106,190,100,154,100,130,1,True
150,MewtwoMega Mewtwo Y,14,0,780,106,150,70,194,120,140,1,True
151,Mew,14,0,600,100,100,100,100,100,100,1,False
152,Chikorita,12,0,318,45,49,65,49,65,45,2,False
153,Bayleef,12,0,405,60,62,80,63,80,60,2,False
154,Meganium,12,0,525,80,82,100,83,100,80,2,False
155,Cyndaquil,10,0,309,39,52,43,60,50,65,2,False
156,Quilava,10,0,405,58,64,58,80,65,80,2,False
157,Typhlosion,10,0,534,78,84,78,109,85,100,2,False
158,Totodile,11,0,314,50,65,64,44,48,43,2,False
159,Croconaw,11,0,405,65,80,80,59,63,58,2,False
160,Feraligatr,11,0,530,85,105,100,79,83,78,2,False
161,Sentret,1,0,215,35,46,34,35,45,20,2,False
162,Furret,1,0,415,85,76,64,45,55,90,2,False
163,Hoothoot,1,3,262,60,30,30,36,56,50,2,False
164,Noctowl,1,3,442,100,50,50,76,96,70,2,False
165,Ledyba,7,3,265,40,20,30,40,80,55,2,False
166,Ledian,7,3,390,55,35,50,55,110,85,2,False
167,Spinarak,7,4,250,40,60,40,40,40,30,2,False
168,Ariados,7,4,390,70,90,70,60,60,40,2,False
169,Crobat,4,3,535,85,90,80,70,80,130,2,False
170,Chinchou,11,13,330,75,38,38,56,56,67,2,False
171,Lanturn,11,13,460,125,58,58,76,76,67,2,False
172,Pichu,13,0,205,20,40,15,35,35,60,2,False
173,Cleffa,18,0,218,50,25,28,45,55,15,2,False
174,Igglybuff,1,18,210,90,30,15,40,20,15,2,False
175,Togepi,18,0,245,35,20,65,40,65,20,2,False
176,Togetic,18,3,405,55,40,85,80,105,40,2,False
177,Natu,14,3,320,40,50,45,70,45,70,2,False
178,Xatu,14,3,470,65,75,70,95,70,95,2,False
179,Mareep,13,0,280,55,40,40,65,45,35,2,False
180,Flaaffy,13,0,365,70,55,55,80,60,45,2,False
181,Ampharos,13,0,510,90,75,85,115,90,55,2,False
181,AmpharosMega Ampharos,13,16,610,90,95,105,165,110,45,2,False
182,Bellossom,12,0,490,75,80,95,90,100,50,2,False
183,Marill,11,18,250,70,20,50,20,50,40,2,False
184,Azumarill,11,18,420,100,50,80,60,80,50,2,False
185,Sudowoodo,6,0,410,70,100,115,30,65,30,2,False
186,Politoed,11,0,500,90,75,75,90,100,70,2,False
187,Hoppip,12,3,250,35,35,40,35,55,50,2,False
188,Skiploom,12,3,340,55,45,50,45,65,80,2,False
189,Jumpluff,12,3,460,75,55,70,55,95,110,2,False
190,Aipom,1,0,360,55,70,55,40,55,85,2,False
191,Sunkern,12,0,180,30,30,30,30,30,30,2,False
192,Sunflora,12,0,425,75,75,55,105,85,30,2,False
193,Yanma,7,3,390,65,65,45,75,45,95,2,False
194,Wooper,11,5,210,55,45,45,25,25,15,2,False
195,Quagsire,11,5,430,95,85,85,65,65,35,2,False
196,Espeon,14,0,525,65,65,60,130,95,110,2,False
197,Umbreon,17,0,525,95,65,110,60,130,65,2,False
198,Murkrow,17,3,405,60,85,42,85,42,91,2,False
199,Slowking,11,14,490,95,75,80,100,110,30,2,False
200,Misdreavus,8,0,435,60,60,60,85,85,85,2,False
201,Unown,14,0,336,48,72,48,72,48,48,2,False
202,Wobbuffet,14,0,405,190,33,58,33,58,33,2,False
203,Girafarig,1,14,455,70,80,65,90,65,85,2,False
204,Pineco,7,0,290,50,65,90,35,35,15,2,False
205,Forretress,7,9,465,75,90,140,60,60,40,2,False
206,Dunsparce,1,0,415,100,70,70,65,65,45,2,False
207,Gligar,5,3,430,65,75,105,35,65,85,2,False
208,Steelix,9,5,510,75,85,200,55,65,30,2,False
208,SteelixMega 9ix,9,5,610,75,125,230,55,95,30,2,False
209,Snubbull,18,0,300,60,80,50,40,40,30,2,False
210,Granbull,18,0,450,90,120,75,60,60,45,2,False
211,Qwilfish,11,4,430,65,95,75,55,55,85,2,False
212,Scizor,7,9,500,70,130,100,55,80,65,2,False
212,ScizorMega Scizor,7,9,600,70,150,140,65,100,75,2,False
213,Shuckle,7,6,505,20,10,230,10,230,5,2,False
214,Heracross,7,2,500,80,125,75,40,95,85,2,False
214,HeracrossMega Heracross,7,2,600,80,185,115,40,105,75,2,False
215,Sneasel,17,15,430,55,95,55,35,75,115,2,False
216,Teddiursa,1,0,330,60,80,50,50,50,40,2,False
217,Ursaring,1,0,500,90,130,75,75,75,55,2,False
218,Slugma,10,0,250,40,40,40,70,40,20,2,False
219,Magcargo,10,6,410,50,50,120,80,80,30,2,False
220,Swinub,15,5,250,50,50,40,30,30,50,2,False
221,Piloswine,15,5,450,100,100,80,60,60,50,2,False
222,Corsola,11,6,380,55,55,85,65,85,35,2,False
223,Remoraid,11,0,300,35,65,35,65,35,65,2,False
224,Octillery,11,0,480,75,105,75,105,75,45,2,False
225,Delibird,15,3,330,45,55,45,65,45,75,2,False
226,Mantine,11,3,465,65,40,70,80,140,70,2,False
227,Skarmory,9,3,465,65,80,140,40,70,70,2,False
228,Houndour,17,10,330,45,60,30,80,50,65,2,False
229,Houndoom,17,10,500,75,90,50,110,80,95,2,False
229,HoundoomMega Houndoom,17,10,600,75,90,90,140,90,115,2,False
230,Kingdra,11,16,540,75,95,95,95,95,85,2,False
231,Phanpy,5,0,330,90,60,60,40,40,40,2,False
232,Donphan,5,0,500,90,120,120,60,60,50,2,False
233,Porygon2,1,0,515,85,80,90,105,95,60,2,False
234,Stantler,1,0,465,73,95,62,85,65,85,2,False
235,Smeargle,1,0,250,55,20,35,20,45,75,2,False
236,Tyrogue,2,0,210,35,35,35,35,35,35,2,False
237,Hitmontop,2,0,455,50,95,95,35,110,70,2,False
238,Smoochum,15,14,305,45,30,15,85,65,65,2,False
239,Elekid,13,0,360,45,63,37,65,55,95,2,False
240,Magby,10,0,365,45,75,37,70,55,83,2,False
241,Miltank,1,0,490,95,80,105,40,70,100,2,False
242,Blissey,1,0,540,255,10,10,75,135,55,2,False
243,Raikou,13,0,580,90,85,75,115,100,115,2,True
244,Entei,10,0,580,115,115,85,90,75,100,2,True
245,Suicune,11,0,580,100,75,115,90,115,85,2,True
246,Larvitar,6,5,300,50,64,50,45,50,41,2,False
247,Pupitar,6,5,410,70,84,70,65,70,51,2,False
248,Tyranitar,6,17,600,100,134,110,95,100,61,2,False
248,TyranitarMega Tyranitar,6,17,700,100,164,150,95,120,71,2,False
249,Lugia,14,3,680,106,90,130,90,154,110,2,True
250,Ho-oh,10,3,680,106,130,90,110,154,90,2,True
251,Celebi,14,12,600,100,100,100,100,100,100,2,False
252,Treecko,12,0,310,40,45,35,65,55,70,3,False
253,Grovyle,12,0,405,50,65,45,85,65,95,3,False
254,Sceptile,12,0,530,70,85,65,105,85,120,3,False
254,SceptileMega Sceptile,12,16,630,70,110,75,145,85,145,3,False
255,Torchic,10,0,310,45,60,40,70,50,45,3,False
256,Combusken,10,2,405,60,85,60,85,60,55,3,False
257,Blaziken,10,2,530,80,120,70,110,70,80,3,False
257,BlazikenMega Blaziken,10,2,630,80,160,80,130,80,100,3,False
258,Mudkip,11,0,310,50,70,50,50,50,40,3,False
259,Marshtomp,11,5,405,70,85,70,60,70,50,3,False
260,Swampert,11,5,535,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,11,5,635,100,150,110,95,110,70,3,False
261,Poochyena,17,0,220,35,55,35,30,30,35,3,False
262,Mightyena,17,0,420,70,90,70,60,60,70,3,False
263,Zigzagoon,1,0,240,38,30,41,30,41,60,3,False
264,Linoone,1,0,420,78,70,61,50,61,100,3,False
265,Wurmple,7,0,195,45,45,35,20,30,20,3,False
266,Silcoon,7,0,205,50,35,55,25,25,15,3,False
267,Beautifly,7,3,395,60,70,50,100,50,65,3,False
268,Cascoon,7,0,205,50,35,55,25,25,15,3,False
269,Dustox,7,4,385,60,50,70,50,90,65,3,False
270,Lotad,11,12,220,40,30,30,40,50,30,3,False
271,Lombre,11,12,340,60,50,50,60,70,50,3,False
272,Ludicolo,11,12,480,80,70,70,90,100,70,3,False
273,Seedot,12,0,220,40,40,50,30,30,30,3,False
274,Nuzleaf,12,17,340,70,70,40,60,40,60,3,False
275,Shiftry,12,17,480,90,100,60,90,60,80,3,False
276,Taillow,1,3,270,40,55,30,30,30,85,3,False
277,Swellow,1,3,430,60,85,60,50,50,125,3,False
278,Wingull,11,3,270,40,30,30,55,30,85,3,False
279,Pelipper,11,3,430,60,50,100,85,70,65,3,False
280,Ralts,14,18,198,28,25,25,45,35,40,3,False
281,Kirlia,14,18,278,38,35,35,65,55,50,3,False
282,Gardevoir,14,18,518,68,65,65,125,115,80,3,False
282,GardevoirMega Gardevoir,14,18,618,68,85,65,165,135,100,3,False
283,Surskit,7,11,269,40,30,32,50,52,65,3,False
284,Masquerain,7,3,414,70,60,62,80,82,60,3,False
285,Shroomish,12,0,295,60,40,60,40,60,35,3,False
286,Breloom,12,2,460,60,130,80,60,60,70,3,False
287,Slakoth,1,0,280,60,60,60,35,35,30,3,False
288,Vigoroth,1,0,440,80,80,80,55,55,90,3,False
289,Slaking,1,0,670,150,160,100,95,65,100,3,False
290,Nincada,7,5,266,31,45,90,30,30,40,3,False
291,Ninjask,7,3,456,61,90,45,50,50,160,3,False
292,Shedinja,7,8,236,1,90,45,30,30,40,3,False
293,Whismur,1,0,240,64,51,23,51,23,28,3,False
294,Loudred,1,0,360,84,71,43,71,43,48,3,False
295,Exploud,1,0,490,104,91,63,91,73,68,3,False
296,Makuhita,2,0,237,72,60,30,20,30,25,3,False
297,Hariyama,2,0,474,144,120,60,40,60,50,3,False
298,Azurill,1,18,190,50,20,40,20,40,20,3,False
299,Nosepass,6,0,375,30,45,135,45,90,30,3,False
300,Skitty,1,0,260,50,45,45,35,35,50,3,False
301,Delcatty,1,0,380,70,65,65,55,55,70,3,False
302,Sableye,17,8,380,50,75,75,65,65,50,3,False
302,SableyeMega Sableye,17,8,480,50,85,125,85,115,20,3,False
303,Mawile,9,18,380,50,85,85,55,55,50,3,False
303,MawileMega Mawile,9,18,480,50,105,125,55,95,50,3,False
304,Aron,9,6,330,50,70,100,40,40,30,3,False
305,Lairon,9,6,430,60,90,140,50,50,40,3,False
306,Aggron,9,6,530,70,110,180,60,60,50,3,False
306,AggronMega Aggron,9,0,630,70,140,230,60,80,50,3,False
307,Meditite,2,14,280,30,40,55,40,55,60,3,False
308,Medicham,2,14,410,60,60,75,60,75,80,3,False
308,MedichamMega Medicham,2,14,510,60,100,85,80,85,100,3,False
309,Electrike,13,0,295,40,45,40,65,40,65,3,False
310,Manectric,13,0,475,70,75,60,105,60,105,3,False
310,ManectricMega Manectric,13,0,575,70,75,80,135,80,135,3,False
311,Plusle,13,0,405,60,50,40,85,75,95,3,False
312,Minun,13,0,405,60,40,50,75,85,95,3,False
313,Volbeat,7,0,400,65,73,55,47,75,85,3,False
314,Illumise,7,0,400,65,47,55,73,75,85,3,False
315,Roselia,12,4,400,50,60,45,100,80,65,3,False
316,Gulpin,4,0,302,70,43,53,43,53,40,3,False
317,Swalot,4,0,467,100,73,83,73,83,55,3,False
318,Carvanha,11,17,305,45,90,20,65,20,65,3,False
319,Sharpedo,11,17,460,70,120,40,95,40,95,3,False
319,SharpedoMega Sharpedo,11,17,560,70,140,70,110,65,105,3,False
320,Wailmer,11,0,400,130,70,35,70,35,60,3,False
321,Wailord,11,0,500,170,90,45,90,45,60,3,False
322,Numel,10,5,305,60,60,40,65,45,35,3,False
323,Camerupt,10,5,460,70,100,70,105,75,40,3,False
323,CameruptMega Camerupt,10,5,560,70,120,100,145,105,20,3,False
324,Torkoal,10,0,470,70,85,140,85,70,20,3,False
325,Spoink,14,0,330,60,25,35,70,80,60,3,False
326,Grumpig,14,0,470,80,45,65,90,110,80,3,False
327,Spinda,1,0,360,60,60,60,60,60,60,3,False
328,Trapinch,5,0,290,45,100,45,45,45,10,3,False
329,Vibrava,5,16,340,50,70,50,50,50,70,3,False
330,Flygon,5,16,520,80,100,80,80,80,100,3,False
331,Cacnea,12,0,335,50,85,40,85,40,35,3,False
332,Cacturne,12,17,475,70,115,60,115,60,55,3,False
333,Swablu,1,3,310,45,40,60,40,75,50,3,False
334,Altaria,16,3,490,75,70,90,70,105,80,3,False
334,AltariaMega Altaria,16,18,590,75,110,110,110,105,80,3,False
335,Zangoose,1,0,458,73,115,60,60,60,90,3,False
336,Seviper,4,0,458,73,100,60,100,60,65,3,False
337,Lunatone,6,14,440,70,55,65,95,85,70,3,False
338,Solrock,6,14,440,70,95,85,55,65,70,3,False
339,Barboach,11,5,288,50,48,43,46,41,60,3,False
340,Whiscash,11,5,468,110,78,73,76,71,60,3,False
341,Corphish,11,0,308,43,80,65,50,35,35,3,False
342,Crawdaunt,11,17,468,63,120,85,90,55,55,3,False
343,Baltoy,5,14,300,40,40,55,40,70,55,3,False
344,Claydol,5,14,500,60,70,105,70,120,75,3,False
345,Lileep,6,12,355,66,41,77,61,87,23,3,False
346,Cradily,6,12,495,86,81,97,81,107,43,3,False
347,Anorith,6,7,355,45,95,50,40,50,75,3,False
348,Armaldo,6,7,495,75,125,100,70,80,45,3,False
349,Feebas,11,0,200,20,15,20,10,55,80,3,False
350,Milotic,11,0,540,95,60,79,100,125,81,3,False
351,Castform,1,0,420,70,70,70,70,70,70,3,False
352,Kecleon,1,0,440,60,90,70,60,120,40,3,False
353,Shuppet,8,0,295,44,75,35,63,33,45,3,False
354,Banette,8,0,455,64,115,65,83,63,65,3,False
354,BanetteMega Banette,8,0,555,64,165,75,93,83,75,3,False
355,Duskull,8,0,295,20,40,90,30,90,25,3,False
356,Dusclops,8,0,455,40,70,130,60,130,25,3,False
357,Tropius,12,3,460,99,68,83,72,87,51,3,False
358,Chimecho,14,0,425,65,50,70,95,80,65,3,False
359,Absol,17,0,465,65,130,60,75,60,75,3,False
359,AbsolMega Absol,17,0,565,65,150,60,115,60,115,3,False
360,Wynaut,14,0,260,95,23,48,23,48,23,3,False
361,Snorunt,15,0,300,50,50,50,50,50,50,3,False
362,Glalie,15,0,480,80,80,80,80,80,80,3,False
362,GlalieMega Glalie,15,0,580,80,120,80,120,80,100,3,False
363,Spheal,15,11,290,70,40,50,55,50,25,3,False
364,Sealeo,15,11,410,90,60,70,75,70,45,3,False
365,Walrein,15,11,530,110,80,90,95,90,65,3,False
366,Clamperl,11,0,345,35,64,85,74,55,32,3,False
367,Huntail,11,0,485,55,104,105,94,75,52,3,False
368,Gorebyss,11,0,485,55,84,105,114,75,52,3,False
369,Relicanth,11,6,485,100,90,130,45,65,55,3,False
370,Luvdisc,11,0,330,43,30,55,40,65,97,3,False
371,Bagon,16,0,300,45,75,60,40,30,50,3,False
372,Shelgon,16,0,420,65,95,100,60,50,50,3,False
373,Salamence,16,3,600,95,135,80,110,80,100,3,False
373,SalamenceMega Salamence,16,3,700,95,145,130,120,90,120,3,False
374,Beldum,9,14,300,40,55,80,35,60,30,3,False
375,Metang,9,14,420,60,75,100,55,80,50,3,False
376,Metagross,9,14,600,80,135,130,95,90,70,3,False
376,MetagrossMega Metagross,9,14,700,80,145,150,105,110,110,3,False
377,Regirock,6,0,580,80,100,200,50,100,50,3,True
378,Regice,15,0,580,80,50,100,100,200,50,3,True
379,Registeel,9,0,580,80,75,150,75,150,50,3,True
380,Latias,16,14,600,80,80,90,110,130,110,3,True
380,LatiasMega Latias,16,14,700,80,100,120,140,150,110,3,True
381,Latios,16,14,600,80,90,80,130,110,110,3,True
381,LatiosMega Latios,16,14,700,80,130,100,160,120,110,3,True
382,Kyogre,11,0,670,100,100,90,150,140,90,3,True
382,KyogrePrimal Kyogre,11,0,770,100,150,90,180,160,90,3,True
383,Groudon,5,0,670,100,150,140,100,90,90,3,True
383,GroudonPrimal Groudon,5,10,770,100,180,160,150,90,90,3,True
384,Rayquaza,16,3,680,105,150,90,150,90,95,3,True
384,RayquazaMega Rayquaza,16,3,780,105,180,100,180,100,115,3,True
385,Jirachi,9,14,600,100,100,100,100,100,100,3,True
386,Deoxys1 Forme,14,0,600,50,150,50,150,50,150,3,True
386,DeoxysAttack Forme,14,0,600,50,180,20,180,20,150,3,True
386,DeoxysDefense Forme,14,0,600,50,70,160,70,160,90,3,True
386,DeoxysSpeed Forme,14,0,600,50,95,90,95,90,180,3,True
387,Turtwig,12,0,318,55,68,64,45,55,31,4,False
388,Grotle,12,0,405,75,89,85,55,65,36,4,False
389,Torterra,12,5,525,95,109,105,75,85,56,4,False
390,Chimchar,10,0,309,44,58,44,58,44,61,4,False
391,Monferno,10,2,405,64,78,52,78,52,81,4,False
392,Infernape,10,2,534,76,104,71,104,71,108,4,False
393,Piplup,11,0,314,53,51,53,61,56,40,4,False
394,Prinplup,11,0,405,64,66,68,81,76,50,4,False
395,Empoleon,11,9,530,84,86,88,111,101,60,4,False
396,Starly,1,3,245,40,55,30,30,30,60,4,False
397,Staravia,1,3,340,55,75,50,40,40,80,4,False
398,Staraptor,1,3,485,85,120,70,50,60,100,4,False
399,Bidoof,1,0,250,59,45,40,35,40,31,4,False
400,Bibarel,1,11,410,79,85,60,55,60,71,4,False
401,Kricketot,7,0,194,37,25,41,25,41,25,4,False
402,Kricketune,7,0,384,77,85,51,55,51,65,4,False
403,Shinx,13,0,263,45,65,34,40,34,45,4,False
404,Luxio,13,0,363,60,85,49,60,49,60,4,False
405,Luxray,13,0,523,80,120,79,95,79,70,4,False
406,Budew,12,4,280,40,30,35,50,70,55,4,False
407,Roserade,12,4,515,60,70,65,125,105,90,4,False
408,Cranidos,6,0,350,67,125,40,30,30,58,4,False
409,Rampardos,6,0,495,97,165,60,65,50,58,4,False
410,Shieldon,6,9,350,30,42,118,42,88,30,4,False
411,Bastiodon,6,9,495,60,52,168,47,138,30,4,False
412,Burmy,7,0,224,40,29,45,29,45,36,4,False
